##v1.0##
FDN,OBJECT_TYPE,EQT_FDN,ITF_FDN,DOMAIN,ZONE,SITE,NAME,MNEMO,VPN,ITF_IP_ADDRESS,SRV_SENSOR_PARAM_SERVICE,SRV_SENSOR_TYPE,AVG_BWD_IN,MAX_BWD_IN,AVG_BWD_OUT,MAX_BWD_OUT,ACCESS_DSL_TYPE,CIAL_TAIL_CIRCUIT_BWD_UP,CIAL_TAIL_CIRCUIT_BWD_DOWN,CIAL_INTRANET_BWD,SRV_TECH_REFERENCE,SRV_TECH_NAME,SRV_TECH_TYPE,SRV_CIAL_REFERENCE
DI:AAF.ZI:X.RTONE:GASNY-N-NEW.L:A0.N:8-35,VCL,DI:AAF.ZI:X.RTONE:GASNY-N-NEW,DI:AAF.ZI:X.RTONE:GASNY-N-NEW.L:A0,AAF,ROU,GASNY,8-35,gasny-n-new-A0-8-35,,,ZZ,STAT_CDV,6554,6554,6554,6554,SDSL,6554,6554,6000,CD02645FBB,BVPN - Corporate 6144,VPO0012,0022665182
DI:AAF.ZI:X.RTONE:GASNY-S-NEW.L:A0.N:8-35,VCL,DI:AAF.ZI:X.RTONE:GASNY-S-NEW,DI:AAF.ZI:X.RTONE:GASNY-S-NEW.L:A0,AAF,ROU,GASNY,8-35,gasny-s-new-A0-8-35,,,ZZ,STAT_CDV,6554,6554,6554,6554,SDSL,6554,6554,6000,CD02645FBB,BVPN - Corporate 6144,VPO0012,0022665182
DI:AAF.ZI:X.RTONE:HEUDEBOUVILLE-N1.L:A0.N:8-35,VCL,DI:AAF.ZI:X.RTONE:HEUDEBOUVILLE-N1,DI:AAF.ZI:X.RTONE:HEUDEBOUVILLE-N1.L:A0,AAF,ROU,HEUDEBOUVILLE,8-35,heudebouville-n1-A0-8-35,,,ZZ,STAT_CDV,2048,2048,2048,2048,SDSL,2048,2048,2000,CD02643SAE,BVPN - Corporate 2048,VPO0012,0022665208
DI:AAF.ZI:X.RTONE:HEUDEBOUVILLE-S1.L:A0.N:8-35,VCL,DI:AAF.ZI:X.RTONE:HEUDEBOUVILLE-S1,DI:AAF.ZI:X.RTONE:HEUDEBOUVILLE-S1.L:A0,AAF,ROU,HEUDEBOUVILLE,8-35,heudebouville-s1-A0-8-35,,,ZZ,STAT_CDV,2048,2048,2048,2048,SDSL,2048,2048,2000,CD02643SAE,BVPN - Corporate 2048,VPO0012,0022665208
DI:ANDROS.ZI:X.RTCIS:AUNEAU1.L:GE0/0.N:14,VLAN,DI:ANDROS.ZI:X.RTCIS:AUNEAU1,DI:ANDROS.ZI:X.RTCIS:AUNEAU1.L:GE0/0,ANDROS,ORL,ANDROS-NET AUNEAU1,14,auneau1-GE0/0-14,,,VL,STAT_CDV,0,0,0,0,,8000,8000,,,,,
DI:ANDROS.ZI:X.RTCIS:AUNEAU1.L:GE0/0.N:65,VLAN,DI:ANDROS.ZI:X.RTCIS:AUNEAU1,DI:ANDROS.ZI:X.RTCIS:AUNEAU1.L:GE0/0,ANDROS,ORL,ANDROS-NET AUNEAU1,65,auneau1-GE0/0-65,,,VL,STAT_CDV,0,0,0,0,,8000,8000,,,,,
DI:ANDROS.ZI:X.RTCIS:AUNEAU2.L:GE0/0.N:38,VLAN,DI:ANDROS.ZI:X.RTCIS:AUNEAU2,DI:ANDROS.ZI:X.RTCIS:AUNEAU2.L:GE0/0,ANDROS,ORL,ANDROS-NET AUNEAU2,38,auneau2-GE0/0-38,,,VL,STAT_CDV,0,0,0,0,,8000,8000,,,,,
DI:ANDROS.ZI:X.RTCIS:BIARS1.L:GE0/1.N:33,VLAN,DI:ANDROS.ZI:X.RTCIS:BIARS1,DI:ANDROS.ZI:X.RTCIS:BIARS1.L:GE0/1,ANDROS,TLS,ANDROS-BIARS,33,biars1-GE0/1-33,,,VL,STAT_CDV,15000,15000,15000,15000,,14000,14000,8000,CD037U3ME1,BVPN - Corporate 14312,VPO0006,0022916027
DI:ANDROS.ZI:X.RTCIS:BIARS2.L:GE0/1.N:33,VLAN,DI:ANDROS.ZI:X.RTCIS:BIARS2,DI:ANDROS.ZI:X.RTCIS:BIARS2.L:GE0/1,ANDROS,POI,ANDROS-BIARS,33,biars2-GE0/1-33,,, VL,STAT_CDV, 15000, 15000, 15000, 15000,,14000,14000,8000,CD037U8LE0,BVPN - Corporate 14312,VPO0006,0022916061
DI:ANDROS.ZI:X.RTCIS:BLANQUEFORT1.L:GE0/1.N:6,VLAN,DI:ANDROS.ZI:X.RTCIS:BLANQUEFORT1,DI:ANDROS.ZI:X.RTCIS:BLANQUEFORT1.L:GE0/1,ANDROS,TLS,ANDROS-BLANQUEFORT,6,blanquefort1-GE0/1-6,,,VL,STAT_CDV,2000,2000,2000,2000,,4000,4000,2000,CD03J2FMB5,BVPN - Corporate 2048,VPO0014,0022996871
