##v1.0##
#family,reference,subtype,domain,cosType
DI.ZI.RTCIS.L,LACTALIS.X.BOZOULS.FE4,A,,0
DI.ZI.RTCIS.L,LACTALIS.X.RAIVA.FE4,A,,0
DI.ZI.RTCIS.L,LACTALIS.X.RAIVA2.FE4,A,,0
DI.ZI.RTCIS.L,LACTALIS.X.ROQUEBB2.FE4,A,,0
DI.ZI.RTCIS.L.N,LACTALIS.X.AFFRI.ATM0.8-35,L,,0
DI.ZI.RTCIS.L.N,LACTALIS.X.AFFRI2.ATM0.8-35,L,,0
DI.ZI.RTCIS.L.N,LACTALIS.X.AGENA.ATM0.8-35,L,,0
DI.ZI.RTCIS.L.N,LACTALIS.X.ALLDA.ATM0.8-35,L,,0
DI.ZI.RTCIS.L.N,LACTALIS.X.ANNECY.ATM0.8-35,L,,0
DI.ZI.RTCIS.L.N,LACTALIS.X.ASMAR.ATM0.8-35,L,,0
DI.ZI.RTCIS.L.N,LACTALIS.X.ASSON.ATM0.8-35,L,,0
DI.ZI.RTCIS.L.N,LACTALIS.X.AUBIERE.ATM0.8-35,L,,0
DI.ZI.RTCIS.L.N,LACTALIS.X.BERN.ATM0.8-35,L,,0
DI.ZI.RTCIS.L.N,LACTALIS.X.BONDUES.ATM0.8-35,L,,0
DI.ZI.RTCIS.L.N,LACTALIS.X.BONDUES2.ATM0.8-35,L,,0
DI.ZI.RTCIS.L.N,LACTALIS.X.BOUVR.ATM0.8-35,L,,0
DI.ZI.RTCIS.L.N,LACTALIS.X.BOUVR2.ATM0.8-35,L,,0
DI.ZI.RTCIS.L.N,LACTALIS.X.BUAT.ATM0.8-35,L,,0
DI.ZI.RTCIS.L.N,LACTALIS.X.BUAT2.ATM0.8-35,L,,0
DI.ZI.RTCIS.L.N,LACTALIS.X.BUCHY.ATM0.8-35,L,,0
DI.ZI.RTCIS.L.N,LACTALIS.X.BUFFALO1.GE0/0.23,L,,0
DI.ZI.RTCIS.L.N,LACTALIS.X.CECILE.ATM0/0/IMA0.8-35,L,,0
DI.ZI.RTCIS.L.N,LACTALIS.X.CECILE2.ATM0/0/IMA0.8-35,L,,0
DI.ZI.RTCIS.L.N,LACTALIS.X.CEGEDIM.ATM0.8-35,L,,0
DI.ZI.RTCIS.L.N,LACTALIS.X.CEGEDIM2.ATM0.8-35,L,,0
DI.ZI.RTCIS.L.N,LACTALIS.X.CESSON.ATM0.8-35,L,,0
DI.ZI.RTCIS.L.N,LACTALIS.X.CESSON2.ATM0.8-35,L,,0
DI.ZI.RTCIS.L.N,LACTALIS.X.CHANGE.ATM0.8-35,L,,0
DI.ZI.RTCIS.L.N,LACTALIS.X.CHANGE2.ATM0.8-35,L,,0
DI.ZI.RTCIS.L.N,LACTALIS.X.CHAPELLE.GE0/1.87,L,,0
DI.ZI.RTCIS.L.N,LACTALIS.X.CHAPELLE2.GE0/1.58,L,,0
DI.ZI.RTCIS.L.N,LACTALIS.X.CHATBB1.ATM0.8-35,L,,0
DI.ZI.RTCIS.L.N,LACTALIS.X.CHATBGVERGERS.ATM0.8-35,L,,0
DI.ZI.RTCIS.L.N,LACTALIS.X.CHATBGVERGERS2.ATM0.8-35,L,,0
DI.ZI.RTCIS.L.N,LACTALIS.X.CHATEAULIN.ATM0.8-35,L,,0
DI.ZI.RTCIS.L.N,LACTALIS.X.CHEVILLY.GE0/2.30,L,,0
DI.ZI.RTCIS.L.N,LACTALIS.X.CHOISYHD.GE0/1.23,L,,0
DI.ZI.RTCIS.L.N,LACTALIS.X.CHOISYHD2.GE0/1.67,L,,0
DI.ZI.RTCIS.L.N,LACTALIS.X.CLECY.ATM0.8-35,L,,0
