##v1.0##
FDN,OBJECT_TYPE,EQT_FDN,ITF_FDN,DOMAIN,ZONE,SITE,NAME,MNEMO,VPN,ITF_IP_ADDRESS,SRV_SENSOR_PARAM_SERVICE,SRV_SENSOR_TYPE,AVG_BWD_IN,MAX_BWD_IN,AVG_BWD_OUT,MAX_BWD_OUT,ACCESS_DSL_TYPE,CIAL_TAIL_CIRCUIT_BWD_UP,CIAL_TAIL_CIRCUIT_BWD_DOWN,CIAL_INTRANET_BWD,SRV_TECH_REFERENCE,SRV_TECH_NAME,SRV_TECH_TYPE,SRV_CIAL_REFERENCE
DI:ACM.ZI:X.RTONE:ARCEAUX.L:A0.N:8-35,VCL,DI:ACM.ZI:X.RTONE:ARCEAUX,DI:ACM.ZI:X.RTONE:ARCEAUX.L:A0,ACM,MPL,AGENCE ARCEAUX,8-35,arceaux-A0-8-35,,,SD,STAT_CDV,1024,1024,1024,1024,SDSL,1024,1024,500,CD03F373CE,BVPN - Corporate 937,VPO0002,0022977660
DI:ACM.ZI:X.RTONE:DEMANDE.L:GE1/0.N:52,VLAN,DI:ACM.ZI:X.RTONE:DEMANDE,DI:ACM.ZI:X.RTONE:DEMANDE.L:GE1/0,ACM,MPL,BUREAU DE LA DEMANDE,52,demande-GE1/0-52,,,VL,STAT_CDV,0,0,0,0,,7000,7000,6000,CD03F3CTA9,BVPN - Corporate 6739,VPO0005,0022978319
DI:ACM.ZI:X.RTONE:IMMO.L:GE1/0.N:51,VLAN,DI:ACM.ZI:X.RTONE:IMMO,DI:ACM.ZI:X.RTONE:IMMO.L:GE1/0,ACM,MPL,GEST IMMO ET SRC,51,immo-GE1/0-51,,,VL,STAT_CDV,0,0,0,0,,6000,6000,4000,CD03F3FABC,BVPN - Corporate 5711,VPO0005,0022978333
DI:ACM.ZI:X.RTONE:MERCURE.L:A0.N:8-35,VCL,DI:ACM.ZI:X.RTONE:MERCURE,DI:ACM.ZI:X.RTONE:MERCURE.L:A0,ACM,MPL,AGENCE MERCURE,8-35,mercure-A0-8-35,,,SD,STAT_CDV,1024,1024,1024,1024,SDSL,1024,1024,500,CD03DDZ9F5,BVPN - Corporate 937,VPO0002,0022965138
DI:ACM.ZI:X.RTONE:MPL-MASSANE.L:A0.N:8-35,VCL,DI:ACM.ZI:X.RTONE:MPL-MASSANE,DI:ACM.ZI:X.RTONE:MPL-MASSANE.L:A0,ACM,MPL,AG- HAUTS DE MASSANE,8-35,mpl-massane-A0-8-35,,,SD,STAT_CDV,1024,1024,1024,1024,SDSL,1024,1024,500,CD03F36MB0,BVPN - Corporate 937,VPO0002,0022977611
DI:ACM.ZI:X.RTONE:SIEGE.L:GE1/0.N:47,VLAN,DI:ACM.ZI:X.RTONE:SIEGE,DI:ACM.ZI:X.RTONE:SIEGE.L:GE1/0,ACM,MPL,OPAC SIEGE SITE PPAL,47,siege-GE1/0-47,,,VL,STAT_CDV,7400,7400,7400,7400,,14000,14000,10000,CD03DE3Y90,BVPN - Corporate 13980,VPO0005,0022968821
DI:ACM.ZI:X.RTONE:VLEZ2.L:A0.N:8-35,VCL,DI:ACM.ZI:X.RTONE:VLEZ2,DI:ACM.ZI:X.RTONE:VLEZ2.L:A0,ACM,MPL,AGENCE LEZ,8-35,vlez2-A0-8-35,,,SD,STAT_CDV,1024,1024,1024,1024,SDSL,1024,1024,500,CD03F3ALB1,BVPN - Corporate 937,VPO0002,0022977789
DI:ADPGSI_AG.ZI:X.RTCIS:AGENCE-CQF1.L:GE0/1.N:197,VLAN,DI:ADPGSI_AG.ZI:X.RTCIS:AGENCE-CQF1,DI:ADPGSI_AG.ZI:X.RTCIS:AGENCE-CQF1.L:GE0/1,ADPGSI_AG,AGENCES,CARQUEFOU2,197,agence-cqf1-GE0/1-197,,,VL,STAT_CDV,6800,6800,6800,6800,,8000,8000,,,,,
DI:ADPGSI_AG.ZI:X.RTCIS:AGENCE-LIL1.L:FE0/1.N:243,VLAN,DI:ADPGSI_AG.ZI:X.RTCIS:AGENCE-LIL1,DI:ADPGSI_AG.ZI:X.RTCIS:AGENCE-LIL1.L:FE0/1,ADPGSI_AG,AGENCES,WASQUEHAL,243,AGENCE-LIL1-FE0/1-243,,,VL,STAT_CDV,0,0,0,0,,4000,4000,,,,,
DI:ADPGSI_AG.ZI:X.RTCIS:AGENCE-MARSEILLE.L:ATM0/0.N:8-35,VCL,DI:ADPGSI_AG.ZI:X.RTCIS:AGENCE-MARSEILLE,DI:ADPGSI_AG.ZI:X.RTCIS:AGENCE-MARSEILLE.L:ATM0/0,ADPGSI_AG,AGENCES,MARSEILLE,8-35,agence-marseille-ATM0/0-8-35,,,SO,STAT_CDV,1500,1500,1500,1500,,2000,2000,,,IP-VPN ADSL,ZVAD,
DI:ADPGSI_AG.ZI:X.RTCIS:AGENCE-MONTSOURIS-HUB2.L:GE0/1.N:26,VLAN,DI:ADPGSI_AG.ZI:X.RTCIS:AGENCE-MONTSOURIS-HUB2,DI:ADPGSI_AG.ZI:X.RTCIS:AGENCE-MONTSOURIS-HUB2.L:GE0/1,ADPGSI_AG,AGENCES,HUB MONTSOURIS,26,agence-montsouris-HUB2-GE0/1-26,,,VL,STAT_CDV,0,0,0,0,,,,,,,,
DI:ADPGSI_AG.ZI:X.RTCIS:AGENCE-MONTSOURIS-HUB2.L:GE0/1.N:7,VLAN,DI:ADPGSI_AG.ZI:X.RTCIS:AGENCE-MONTSOURIS-HUB2,DI:ADPGSI_AG.ZI:X.RTCIS:AGENCE-MONTSOURIS-HUB2.L:GE0/1,ADPGSI_AG,AGENCES,HUB MONTSOURIS,7,agence-montsouris-HUB2-GE0/1-7,,,VL,STAT_CDV,0,0,0,0,,,,,,,,
DI:ADPGSI_AG.ZI:X.RTCIS:AGENCE-NANTERRE-HUB1.L:GE0/1.N:24,VLAN,DI:ADPGSI_AG.ZI:X.RTCIS:AGENCE-NANTERRE-HUB1,DI:ADPGSI_AG.ZI:X.RTCIS:AGENCE-NANTERRE-HUB1.L:GE0/1,ADPGSI_AG,AGENCES,HUB NANTERRE,24,agence-nanterre-HUB1-GE0/1-24,,,VL,STAT_CDV,40000,40000,40000,40000,,32000,32000,,,,,
DI:ADPGSI_AG.ZI:X.RTCIS:AGENCE-ROUEN.L:ATM0/0.N:8-35,VCL,DI:ADPGSI_AG.ZI:X.RTCIS:AGENCE-ROUEN,DI:ADPGSI_AG.ZI:X.RTCIS:AGENCE-ROUEN.L:ATM0/0,ADPGSI_AG,AGENCES,ROUEN,8-35,agence-rouen-ATM0/0-8-35,,,SO,STAT_CDV,1500,1500,1500,1500,,2000,2000,,,IP-VPN ADSL,ZVAD,
DI:ADPGSI_AG.ZI:X.RTCIS:AGENCE-TLS1.L:ATM0/0/IMA0.N:8-35,VCL,DI:ADPGSI_AG.ZI:X.RTCIS:AGENCE-TLS1,DI:ADPGSI_AG.ZI:X.RTCIS:AGENCE-TLS1.L:ATM0/0/IMA0,ADPGSI_AG,AGENCES,BLAGNAC2,8-35,agence-tls1-ATM0/0/IMA0-8-35,,,SY,STAT_CDV,3400,3400,3400,3400,,4000,4000,,,IP-VPN ADSL,ZVAD,
