##v1.0##
FDN,OBJECT_TYPE,DOMAIN,ZONE,SITE,NAME,MNEMO,ADMIN_ADDRESS,COMMUNITY_CODE,COMMUNITY_NAME,CUSTOMER_CODE,CUSTOMER_NAME,COUNTRY_CODE,COUNTRY_NAME,CITY_CODE,CITY_NAME,NETWORK_ROLE,POP_ID,ORIGIN,ACTIVATION_MODEL,SOFTWARE_RELEASE,VOICE_ROLE,IPPBX_ZONE,IS_SHARED,MANUFACTURER,MACRO_TYPE,SRV_STAT_DATA,SRV_IPER_PATH_PERF,SRV_IPER_PATH_PERF_SLA,SRV_IPER_PATH_PERF_CPUMAX_SLA,SRV_IPER_PATH_AVAIL,SRV_IPER_PATH_AVAIL_SLA,SRV_IPER_PATH_AVAIL_CPUMAX_SLA,SRV_IPER_SITE_AVAIL,SRV_IPER_SITE_AVAIL_SLA,SRV_IPER_SITE_AVAIL_CPUMAX_SLA,SRV_IPER_ROUTER_PERF,SRV_IPER_BACKBONE_PATH,SRV_IPER_COS_VOLUME,SRV_IP_DSL_SERVICE_TYPE,SRV_IP_DSL_CARRIER_NAME,SRV_IP_DSL_OFFER_NAME,SRV_3G_SERVICE_TYPE,SRV_3G_CARRIER_CODE,SRV_3G_CARRIER_NAME,SRV_3G_GSM_NUMBER,SRV_TECH_REFERENCE,SRV_TECH_NAME,SRV_TECH_TYPE,SRV_CIAL_REFERENCE
DI:AAF.ZI:X.RTONE:ENTZHEIM,RTONE,AAF,STR,ENTZHEIM,ENTZHEIM,entzheim,10.41.255.215,,,,,,,,,CE,,CEDRE,one-access,V4.3R4E34_FT3,,,0,one-access,ROUTEUR,N,N,N,,N,N,,N,N,,N,N,N,,,,,,,,CD044U62F1,BVPN - Small,VPP0003,0023143781
DI:AAF.ZI:X.RTONE:GASNY-N-NEW,RTONE,AAF,ROU,GASNY,GASNY-N-NEW,gasny-n-new,10.45.86.126,,,,,,,,,CE,,CEDRE,one-access,V4.3R4E25_FT5,,,0,one-access,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,CD02645FBB,BVPN - Corporate 6144,VPO0012,0022665182
DI:AAF.ZI:X.RTONE:GASNY-S-NEW,RTONE,AAF,ROU,GASNY,GASNY-S-NEW,gasny-s-new,10.44.122.110,,,,,,,,,CE,,CEDRE,one-access,V4.3R4E25_FT5,,,0,one-access,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,CD02645FBB,BVPN - Corporate 6144,VPO0012,0022665182
DI:AAF.ZI:X.RTONE:HEUDEBOUVILLE-N1,RTONE,AAF,ROU,HEUDEBOUVILLE,HEUDEBOUVILLE-N1,heudebouville-n1,10.43.112.244,,,,,,,,,CE,,CEDRE,one-access,V4.2R5E2_FT18H,,,0,one-access,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,CD02643SAE,BVPN - Corporate 2048,VPO0012,0022665208
DI:AAF.ZI:X.RTONE:HEUDEBOUVILLE-S1,RTONE,AAF,ROU,HEUDEBOUVILLE,HEUDEBOUVILLE-S1,heudebouville-s1,10.44.122.28,,,,,,,,,CE,,CEDRE,one-access,V4.2R5E2_FT18H,,,0,one-access,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,CD02643SAE,BVPN - Corporate 2048,VPO0012,0022665208
DI:AAF.ZI:X.RTONE:VINC-N,RTONE,AAF,IDF,VINCENNES,VINC-N,vinc-n,10.42.137.23,,,,,,,,,CE,,CEDRE,one-access,V4.3R4E25_FT5,,,0,one-access,ROUTEUR,N,N,N,,N,N,,N,N,,N,N,N,,,,,,,,CD03KT2VF9,BVPN - Corporate 2048,VPO0012,0023018923
DI:AAF.ZI:X.RTONE:VINC-S,RTONE,AAF,IDF,VINCENNES,VINC-S,vinc-s,10.42.239.121,,,,,,,,,CE,,CEDRE,one-access,V4.3R4E25_FT5,,,0,one-access,ROUTEUR,N,N,N,,N,N,,N,N,,N,N,N,,,,,,,,CD03KT2VF9,BVPN - Corporate 2048,VPO0012,0023018923
DI:AAF.ZI:X.RTSNMP:BJNJ2-AAF-TPC,RTSNMP,AAF,ROU,PASSERELLE INTERNET,BJNJ2-AAF_TPC,BJNJ2-AAF-TPC,81.52.16.83,,,,,FRA,FRANCE,JNJ,,CE,,ORCHESTRE,juniperVirtualRouter,JUNOS 10.2R3.10,,,0,juniperVirtualRouter,,N,N,N,,N,N,,N,N,,Y,N,N,,,,,,,,,,,
DI:ANDROS.ZI:X.RTCIS:AUNEAU1,RTCIS,ANDROS,ORL,ANDROS-NET AUNEAU1,AUNEAU1,auneau1,10.47.215.6,,,,,FRA,FRANCE,,,CE,,SATIN,cisco,12.4 25a,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,,,,
DI:ANDROS.ZI:X.RTCIS:AUNEAU2,RTCIS,ANDROS,ORL,ANDROS-NET AUNEAU2,AUNEAU2,auneau2,10.43.154.21,,,,,FRA,FRANCE,,,CE,,SATIN,cisco,12.4 25a,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,,,,
