##v1.0##
FDN,OBJECT_TYPE,EQT_FDN,DOMAIN,ZONE,SITE,NAME,MNEMO,COMMENTARY,IP_ADDRESS,CIAL_TYPE,CIAL_PRIMARY,CIAL_PROTOCOL,CIAL_PE_NAME,CIAL_ACCESS_TYPE_NETWORK,CIAL_TAIL_CIRCUIT_BWD_UP,CIAL_TAIL_CIRCUIT_BWD_DOWN,CIAL_SOLD_BWD,SRV_STAT_DATA,SRV_LOAD_MAX_UP_SLA,SRV_LOAD_MAX_DOWN_SLA,SRV_TECH_REFERENCE,SRV_TECH_NAME,SRV_TECH_TYPE,SRV_CIAL_REFERENCE
DI:AAF.ZI:X.RTONE:ENTZHEIM.L:A0,LR,DI:AAF.ZI:X.RTONE:ENTZHEIM,AAF,STR,ENTZHEIM,A0,entzheim-A0,ORCH=RESEAU *** Liaison DSL 0388520465 ***,,,,,,,,,,N,,,CD044U62F1,BVPN - Small,VPP0003,0023143781
DI:AAF.ZI:X.RTONE:GASNY-N-NEW.L:A0,LR,DI:AAF.ZI:X.RTONE:GASNY-N-NEW,AAF,ROU,GASNY,A0,gasny-n-new-A0,ORCH=RESEAU *** Liaison DSL 0028JTF8 ***,,,,,,,,,,Y,,,CD02645FBB,BVPN - Corporate 6144,VPO0012,0022665182
DI:AAF.ZI:X.RTONE:GASNY-N-NEW.L:FE0/0,LAN,DI:AAF.ZI:X.RTONE:GASNY-N-NEW,AAF,ROU,GASNY,FE0/0,gasny-n-new-FE0/0,ORCH=CLIENT *** LAN CLIENT ***,140.5.2.160,,,,,,,,,N,,,CD02645FBB,BVPN - Corporate 6144,VPO0012,0022665182
DI:AAF.ZI:X.RTONE:GASNY-N-NEW.L:FE0/3,LD_LAN,DI:AAF.ZI:X.RTONE:GASNY-N-NEW,AAF,ROU,GASNY,FE0/3,gasny-n-new-FE0/3,ORCH=DEPORT --- ROCADE ---,20.20.20.21,,,,,,,,,Y,,,CD02645FBB,BVPN - Corporate 6144,VPO0012,0022665182
DI:AAF.ZI:X.RTONE:GASNY-S-NEW.L:A0,LR,DI:AAF.ZI:X.RTONE:GASNY-S-NEW,AAF,ROU,GASNY,A0,gasny-s-new-A0,ORCH=RESEAU *** Liaison DSL 0028JTF2 ***,,,,,,,,,,Y,,,CD02645FBB,BVPN - Corporate 6144,VPO0012,0022665182
DI:AAF.ZI:X.RTONE:GASNY-S-NEW.L:FE0/0,LAN,DI:AAF.ZI:X.RTONE:GASNY-S-NEW,AAF,ROU,GASNY,FE0/0,gasny-s-new-FE0/0,ORCH=CLIENT *** LAN CLIENT ***,140.5.2.151,,,,,,,,,N,,,CD02645FBB,BVPN - Corporate 6144,VPO0012,0022665182
DI:AAF.ZI:X.RTONE:GASNY-S-NEW.L:FE0/3,LD_LAN,DI:AAF.ZI:X.RTONE:GASNY-S-NEW,AAF,ROU,GASNY,FE0/3,gasny-s-new-FE0/3,ORCH=DEPORT --- ROCADE ---,20.20.20.22,,,,,,,,,Y,,,CD02645FBB,BVPN - Corporate 6144,VPO0012,0022665182
DI:AAF.ZI:X.RTONE:HEUDEBOUVILLE-N1.L:A0,LR,DI:AAF.ZI:X.RTONE:HEUDEBOUVILLE-N1,AAF,ROU,HEUDEBOUVILLE,A0,heudebouville-n1-A0,VERS EVX3 ATM2/0/0.242,,,,,,,,,,Y,,,CD02643SAE,BVPN - Corporate 2048,VPO0012,0022665208
DI:AAF.ZI:X.RTONE:HEUDEBOUVILLE-N1.L:FE0/0,LAN,DI:AAF.ZI:X.RTONE:HEUDEBOUVILLE-N1,AAF,ROU,HEUDEBOUVILLE,FE0/0,heudebouville-n1-FE0/0,ORCH=CLIENT *** LAN CLIENT ***,,,,,,,,,,N,,,CD02643SAE,BVPN - Corporate 2048,VPO0012,0022665208
DI:AAF.ZI:X.RTONE:HEUDEBOUVILLE-N1.L:FE0/3,LD_LAN,DI:AAF.ZI:X.RTONE:HEUDEBOUVILLE-N1,AAF,ROU,HEUDEBOUVILLE,FE0/3,heudebouville-n1-FE0/3,ORCH=DEPORT --- ROCADE ---,20.20.20.22,,,,,,,,,Y,,,CD02643SAE,BVPN - Corporate 2048,VPO0012,0022665208
